population,numATMs,ATMwithdr,withdrvalue,unemprate,numbranches
12184,1,".9336001873","103.3107681",.0156621,1.125
7255,0,"missing","missing",.0110269,1
3101,1,"1.645834327","106.7398682",.0147958,.875
1024,0,"missing","missing",.0147958,.125
8736,1,"1.088250041","105.7246857",.0161993,1.375
1141,0,"missing","missing",.0161993,.125
9235,2,"1.244367838","99.93577576",.0227986,1.25
3067,0,"missing","missing",.0227986,.25
7795,0,"missing","missing",.0257858,1.125
3694,0,"missing","missing",.0238878,.625
2083,0,"missing","missing",.0238878,.25
4618,0,"missing","missing",.0154971,.75
1125,0,"missing","missing",.0154971,.125
2752,0,"missing","missing",.0131597,.5
1699,0,"missing","missing",.0131597,.125
1229,0,"missing","missing",.0131597,.125
1767,0,"missing","missing",.0131597,.375
5825,1,".9663720131","101.0394592",.0307202,.75
11748,0,"missing","missing",.0307202,.75
3662,0,"missing","missing",.0307202,.5
19172,2,".6763935089","98.61327362",.0298352,1.375
29270,3,".7088660002","95.60131836",.0423642,2.125
11590,1,".7526355386","103.2198486",.0235548,1.375
8289,0,"missing","missing",.0250935,.875
30182,2,".5890818834","100.3130569",.040057,2.625
13541,1,".6836104989","104.0513687",.0264382,1.25
10938,1,".625190556","101.394455",.0209362,1
7459,1,".8743042946","100.0413742",.037887,.875
15701,0,"missing","missing",.037887,1
10198,1,".6116783023","95.7178421",.037887,.75
17251,2,".7009550929","93.43096924",.0289259,1.125
62860,6,".7416071296","92.73267365",.0491887,3.75
19411,1,".4244685471","103.3250122",.023628,1.875
4332,1,".918261528","99.35916138",.023628,.625
32467,2,".4638868272","98.32380676",.0510348,2.125
3097,0,"missing","missing",.0510348,.125
11843,0,"missing","missing",.0278646,1.375
18364,1,".351941824","103.706131",.0349053,1.625
9199,1,".7877993584","98.2329483",.0232634,.875
4827,1,"1.057330132","93.57084656",.0273973,.625
2400,0,"missing","missing",.0273973,.125
12565,1,".256853193","100.4500504",.0199761,1.375
23123,3,".6740647554","96.42909241",.0281105,2.375
6764,0,"missing","missing",.0272028,.625
29595,2,".5303196907","98.76052856",.030985,2.25
3284,0,"missing","missing",.0278983,.625
1336,0,"missing","missing",.0278983,.125
1038,0,"missing","missing",.0278983,.125
1874,0,"missing","missing",.0278983,.125
8885,0,"missing","missing",.0223694,1
28182,3,".7480691075","101.4842834",.0260252,3
15687,1,".3891415894","108.2480698",.0179129,2.375
1796,0,"missing","missing",.0228796,.5
32576,3,".7892457247","101.6236115",.0265117,2.75
2327,0,"missing","missing",.0265117,.125
2175,0,"missing","missing",.0265117,.125
5664,0,"missing","missing",.025702,.75
10045,1,".7397146225","107.1971817",.0222001,1.75
6510,0,"missing","missing",.0213518,.75
6602,0,"missing","missing",.0284762,.75
5649,0,"missing","missing",.026178,.875
1991,0,"missing","missing",.026178,.25
12746,1,".499214381","101.48452",.0192217,1.125
15480,1,".385725677","96.20638275",.0212532,1.875
30711,2,".4776484072","97.99718475",.0241933,2
13576,0,"missing","missing",.0182675,1.375
5890,1,"1.077471614","100.8239059",.0221708,.75
5341,0,"missing","missing",.0221708,.75
9392,0,"missing","missing",.0316227,1
11925,0,"missing","missing",.0192034,1.75
14045,2,".7089556456","98.78753662",.0232111,2
9896,2,"1.379511833","94.59588623",.0293714,.75
3961,0,"missing","missing",.0293714,.125
16009,2,".9199472666","101.7145462",.0312949,1.5
